0;Arenda;1000;qwer;asdf
971;Zetta;43;ravert;meet
972;Roberta;42;crty;seek
973;Nert;41;verty;apple
974;Assa;40;get;frut
975;Lizza;39;paste;dert
976;Zetta;38;ravert;meet
977;Roberta;37;crty;seek
978;Nert;36;verty;apple
979;Assa;35;get;frut
980;Lizza;34;paste;dert
981;Zetta;33;ravert;meet
982;Roberta;32;crty;seek
983;Nert;31;verty;apple
984;Assa;30;get;frut
985;Lizza;29;paste;dert
986;Zetta;28;ravert;meet
987;Roberta;27;crty;seek
988;Nert;26;verty;apple
989;Assa;25;get;frut
990;Lizza;24;paste;dert
991;Zetta;23;ravert;meet
992;Roberta;22;crty;seek
993;Nert;21;verty;apple
994;Assa;20;get;frut
995;Lizza;19;paste;dert
996;Zetta;18;ravert;meet
997;Roberta;17;crty;seek
998;Nert;16;verty;apple
999;Assa;15;get;frut
1000;Lizza;14;paste;dert

 
